"all";"male";"female";"year.ref";"age.min";"age.max";"year"
628734;321754;306980;2010;0;4;2010
596506;304872;291634;2010;5;9;2010
606994;309825;297169;2010;10;14;2010
650632;332183;318449;2010;15;19;2010
660718;331542;329176;2010;20;24;2010
691709;345261;346448;2010;25;29;2010
698056;351200;346856;2010;30;34;2010
747726;378010;369716;2010;35;39;2010
789754;400823;388931;2010;40;44;2010
820067;413826;406241;2010;45;49;2010
767527;384169;383358;2010;50;54;2010
689451;343475;345976;2010;55;59;2010
631872;311066;320806;2010;60;64;2010
466145;223053;243092;2010;65;69;2010
453287;207125;246162;2010;70;74;2010
407579;172750;234829;2010;75;79;2010
297727;111840;185887;2010;80;84;2010
235421;69447;165974;2010;85;NA;2010
645512;330184;315328;2011;0;4;2011
607325;310560;296765;2011;5;9;2011
614460;313738;300722;2011;10;14;2011
649018;331790;317228;2011;15;19;2011
684094;344647;339447;2011;20;24;2011
700373;351045;349328;2011;25;29;2011
722935;364728;358207;2011;30;34;2011
741202;375814;365388;2011;35;39;2011
789891;401527;388364;2011;40;44;2011
828165;418826;409339;2011;45;49;2011
781240;391809;389431;2011;50;54;2011
702335;349491;352844;2011;55;59;2011
650906;320715;330191;2011;60;64;2011
480200;230219;249981;2011;65;69;2011
448375;205382;242993;2011;70;74;2011
401594;171538;230056;2011;75;79;2011
304788;115591;189197;2011;80;84;2011
248225;74114;174111;2011;85;NA;2011
650440;332966;317474;2012;0;4;2012
616275;315140;301135;2012;5;9;2012
614155;313562;300593;2012;10;14;2012
642314;328574;313740;2012;15;19;2012
695080;350507;344573;2012;20;24;2012
701310;351170;350140;2012;25;29;2012
731968;368548;363420;2012;30;34;2012
729589;369691;359898;2012;35;39;2012
786663;399382;387281;2012;40;44;2012
826596;418731;407865;2012;45;49;2012
792169;397456;394713;2012;50;54;2012
715866;355833;360033;2012;55;59;2012
648725;319357;329368;2012;60;64;2012
522162;251202;270960;2012;65;69;2012
433413;199046;234367;2012;70;74;2012
396646;170556;226090;2012;75;79;2012
312304;119999;192305;2012;80;84;2012
260214;78568;181646;2012;85;NA;2012
652368;333699;318669;2013;0;4;2013
627941;321121;306820;2013;5;9;2013
611305;312189;299116;2013;10;14;2013
635280;324983;310297;2013;15;19;2013
703207;354898;348309;2013;20;24;2013
704204;352459;351745;2013;25;29;2013
737788;371237;366551;2013;30;34;2013
723159;365998;357161;2013;35;39;2013
783980;397279;386701;2013;40;44;2013
820548;416260;404288;2013;45;49;2013
800063;401712;398351;2013;50;54;2013
726692;361258;365434;2013;55;59;2013
651981;321183;330798;2013;60;64;2013
555370;267506;287864;2013;65;69;2013
423593;194988;228605;2013;70;74;2013
393422;170803;222619;2013;75;79;2013
318451;123269;195182;2013;80;84;2013
268622;82014;186608;2013;85;NA;2013
648331;331520;316811;2014;0;4;2014
640984;328056;312928;2014;5;9;2014
611000;312015;298985;2014;10;14;2014
629626;321869;307757;2014;15;19;2014
701351;353686;347665;2014;20;24;2014
709177;354157;355020;2014;25;29;2014
736260;369993;366267;2014;30;34;2014
721704;364221;357483;2014;35;39;2014
775999;393188;382811;2014;40;44;2014
809626;410637;398989;2014;45;49;2014
808195;406163;402032;2014;50;54;2014
739423;367717;371706;2014;55;59;2014
654989;322964;332025;2014;60;64;2014
578204;278822;299382;2014;65;69;2014
422207;195306;226901;2014;70;74;2014
395867;172556;223311;2014;75;79;2014
320754;125597;195157;2014;80;84;2014
277143;85325;191818;2014;85;NA;2014
644413;329680;314733;2015;0;4;2015
651380;333280;318100;2015;5;9;2015
614953;314326;300627;2015;10;14;2015
628388;320829;307559;2015;15;19;2015
695568;351908;343660;2015;20;24;2015
716082;357776;358306;2015;25;29;2015
733730;367501;366229;2015;30;34;2015
727252;366816;360436;2015;35;39;2015
765155;387498;377657;2015;40;44;2015
796802;404305;392497;2015;45;49;2015
816282;410910;405372;2015;50;54;2015
753004;374636;378368;2015;55;59;2015
663321;326663;336658;2015;60;64;2015
594460;287271;307189;2015;65;69;2015
427869;199174;228695;2015;70;74;2015
397254;173803;223451;2015;75;79;2015
322955;127863;195092;2015;80;84;2015
288406;89829;198577;2015;85;NA;2015
638176;326524;311652;2016;0;4;2016
662708;338904;323804;2016;5;9;2016
620458;317530;302928;2016;10;14;2016
634837;325646;309191;2016;15;19;2016
691260;351721;339539;2016;20;24;2016
731621;366995;364626;2016;25;29;2016
730150;366115;364035;2016;30;34;2016
740377;372702;367675;2016;35;39;2016
750305;379882;370423;2016;40;44;2016
791274;401497;389777;2016;45;49;2016
819885;413357;406528;2016;50;54;2016
763475;380606;382869;2016;55;59;2016
673689;331637;342052;2016;60;64;2016
611320;295892;315428;2016;65;69;2016
440336;205465;234871;2016;70;74;2016
392664;172465;220199;2016;75;79;2016
319074;127478;191596;2016;80;84;2016
299508;94848;204660;2016;85;NA;2016
631137;322992;308145;2017;0;4;2017
666986;341304;325682;2017;5;9;2017
629697;322222;307475;2017;10;14;2017
632988;324580;308408;2017;15;19;2017
681140;346753;334387;2017;20;24;2017
738490;370223;368267;2017;25;29;2017
727461;364079;363382;2017;30;34;2017
746788;375095;371693;2017;35;39;2017
737199;372835;364364;2017;40;44;2017
786509;398366;388143;2017;45;49;2017
817724;413181;404543;2017;50;54;2017
773690;385904;387786;2017;55;59;2017
686675;337865;348810;2017;60;64;2017
609072;294783;314289;2017;65;69;2017
478946;224318;254628;2017;70;74;2017
379378;167200;212178;2017;75;79;2017
316652;127667;188985;2017;80;84;2017
311195;99905;211290;2017;85;NA;2017
622862;318866;303996;2018;0;4;2018
669250;342448;326802;2018;5;9;2018
641830;328281;313549;2018;10;14;2018
630153;323197;306956;2018;15;19;2018
673462;342874;330588;2018;20;24;2018
744939;373749;371190;2018;25;29;2018
728549;364545;364004;2018;30;34;2018
751232;376960;374272;2018;35;39;2018
730309;368851;361458;2018;40;44;2018
783682;396214;387468;2018;45;49;2018
811908;410783;401125;2018;50;54;2018
782337;390754;391583;2018;55;59;2018
697421;343290;354131;2018;60;64;2018
612577;296815;315762;2018;65;69;2018
509719;239355;270364;2018;70;74;2018
371582;164260;207322;2018;75;79;2018
315977;129001;186976;2018;80;84;2018
320800;103975;216825;2018;85;NA;2018
616176;315177;300999;2019;0;4;2019
666585;340923;325662;2019;5;9;2019
656805;336284;320521;2019;10;14;2019
631502;323790;307712;2019;15;19;2019
670320;341598;328722;2019;20;24;2019
746547;374924;371623;2019;25;29;2019
736780;368166;368614;2019;30;34;2019
751784;377157;374627;2019;35;39;2019
731374;368567;362807;2019;40;44;2019
777528;393483;384045;2019;45;49;2019
802929;406309;396620;2019;50;54;2019
791327;395854;395473;2019;55;59;2019
710403;349994;360409;2019;60;64;2019
615632;298587;317045;2019;65;69;2019
531538;249942;281596;2019;70;74;2019
371320;165281;206039;2019;75;79;2019
319385;131154;188231;2019;80;84;2019
327584;107636;219948;2019;85;NA;2019
609407;311179;298228;2020;0;4;2020
664338;339826;324512;2020;5;9;2020
668369;342132;326237;2020;10;14;2020
636442;326790;309652;2020;15;19;2020
672317;342641;329676;2020;20;24;2020
744436;374710;369726;2020;25;29;2020
747537;374051;373486;2020;30;34;2020
751879;376267;375612;2020;35;39;2020
738624;372015;366609;2020;40;44;2020
768805;389021;379784;2020;45;49;2020
791520;400907;390613;2020;50;54;2020
800140;401063;399077;2020;55;59;2020
723984;356947;367037;2020;60;64;2020
623529;302248;321281;2020;65;69;2020
547046;257913;289133;2020;70;74;2020
377305;169291;208014;2020;75;79;2020
321649;132690;188959;2020;80;84;2020
335113;111534;223579;2020;85;NA;2020
600245;306517;293728;2021;0;4;2021
656356;335723;320633;2021;5;9;2021
678836;347250;331586;2021;10;14;2021
640531;329143;311388;2021;15;19;2021
673810;343879;329931;2021;20;24;2021
736597;371463;365134;2021;25;29;2021
759805;380312;379493;2021;30;34;2021
747556;373962;373594;2021;35;39;2021
751615;377640;373975;2021;40;44;2021
754300;381403;372897;2021;45;49;2021
786620;398499;388121;2021;50;54;2021
804220;403804;400416;2021;55;59;2021
734898;363240;371658;2021;60;64;2021
632807;306471;326336;2021;65;69;2021
561511;265074;296437;2021;70;74;2021
387471;174220;213251;2021;75;79;2021
315676;130660;185016;2021;80;84;2021
331913;111214;220699;2021;85;NA;2021
597468;305029;292439;2022;0;4;2022
649806;332400;317406;2022;5;9;2022
684377;350355;334022;2022;10;14;2022
652920;336045;316875;2022;15;19;2022
677009;346036;330973;2022;20;24;2022
730914;368871;362043;2022;25;29;2022
769700;385388;384312;2022;30;34;2022
748342;374036;374306;2022;35;39;2022
760809;381824;378985;2022;40;44;2022
743639;375887;367752;2022;45;49;2022
783787;396591;387196;2022;50;54;2022
803330;404291;399039;2022;55;59;2022
746040;369183;376857;2022;60;64;2022
645152;312485;332667;2022;65;69;2022
559271;264040;295231;2022;70;74;2022
421356;190261;231095;2022;75;79;2022
304828;126608;178220;2022;80;84;2022
338875;114315;224560;2022;85;NA;2022
596811;304715;292096;2023;0;4;2023
