"all";"male";"female";"year.ref";"age.min";"age.max";"year"
326067;167172;158895;2010;0;4;2010
329874;168751;161123;2010;5;9;2010
345377;177120;168257;2010;10;14;2010
350928;179957;170971;2010;15;19;2010
326535;166418;160117;2010;20;24;2010
310970;155957;155013;2010;25;29;2010
353369;177078;176291;2010;30;34;2010
387393;194779;192614;2010;35;39;2010
414573;210336;204237;2010;40;44;2010
399835;202547;197288;2010;45;49;2010
364297;183347;180950;2010;50;54;2010
350004;174619;175385;2010;55;59;2010
372657;185458;187199;2010;60;64;2010
298841;146029;152812;2010;65;69;2010
216868;102280;114588;2010;70;74;2010
159640;70678;88962;2010;75;79;2010
117547;47218;70329;2010;80;84;2010
109963;33542;76421;2010;85;NA;2010
325495;167084;158411;2011;0;4;2011
327867;167616;160251;2011;5;9;2011
341725;175007;166718;2011;10;14;2011
356466;182827;173639;2011;15;19;2011
337459;171997;165462;2011;20;24;2011
311548;156548;155000;2011;25;29;2011
342593;171742;170851;2011;30;34;2011
389788;195459;194329;2011;35;39;2011
403306;204243;199063;2011;40;44;2011
409904;207446;202458;2011;45;49;2011
367225;184704;182521;2011;50;54;2011
349543;174659;174884;2011;55;59;2011
363928;180466;183462;2011;60;64;2011
318797;156375;162422;2011;65;69;2011
223846;105875;117971;2011;70;74;2011
162633;72547;90086;2011;75;79;2011
117189;47614;69575;2011;80;84;2011
111316;34373;76943;2011;85;NA;2011
319203;163640;155563;2012;0;4;2012
328548;168229;160319;2012;5;9;2012
338707;173268;165439;2012;10;14;2012
359125;184265;174860;2012;15;19;2012
347475;176821;170654;2012;20;24;2012
316190;159427;156763;2012;25;29;2012
333621;167038;166583;2012;30;34;2012
382415;191388;191027;2012;35;39;2012
392184;198283;193901;2012;40;44;2012
422591;213892;208699;2012;45;49;2012
369277;185721;183556;2012;50;54;2012
352243;175856;176387;2012;55;59;2012
350853;173745;177108;2012;60;64;2012
339865;167090;172775;2012;65;69;2012
230590;109338;121252;2012;70;74;2012
167266;75138;92128;2012;75;79;2012
117322;48153;69169;2012;80;84;2012
113041;35484;77557;2012;85;NA;2012
312956;160671;152285;2013;0;4;2013
329520;168595;160925;2013;5;9;2013
335120;171454;163666;2013;10;14;2013
358224;183817;174407;2013;15;19;2013
359625;183050;176575;2013;20;24;2013
322222;162747;159475;2013;25;29;2013
328063;164689;163374;2013;30;34;2013
371971;186128;185843;2013;35;39;2013
388543;195850;192693;2013;40;44;2013
427351;216186;211165;2013;45;49;2013
374370;188334;186036;2013;50;54;2013
353381;176463;176918;2013;55;59;2013
341481;168916;172565;2013;60;64;2013
352035;173062;178973;2013;65;69;2013
241994;115434;126560;2013;70;74;2013
173089;78170;94919;2013;75;79;2013
118170;48916;69254;2013;80;84;2013
114513;36370;78143;2013;85;NA;2013
303782;155792;147990;2014;0;4;2014
331146;169735;161411;2014;5;9;2014
333742;170628;163114;2014;10;14;2014
356746;183030;173716;2014;15;19;2014
368274;187595;180679;2014;20;24;2014
333707;169199;164508;2014;25;29;2014
321890;161762;160128;2014;30;34;2014
365935;183201;182734;2014;35;39;2014
387330;194651;192679;2014;40;44;2014
