"all";"male";"female";"year.ref";"age.min";"age.max";"year"
2496690;1287318;1209372;2010;0;4;2010
2306649;1185938;1120711;2010;5;9;2010
2130454;1094596;1035858;2010;10;14;2010
2264335;1167074;1097261;2010;15;19;2010
2654032;1351381;1302651;2010;20;24;2010
3402286;1739467;1662819;2010;25;29;2010
4099015;2120014;1979001;2010;30;34;2010
3998273;2066006;1932267;2010;35;39;2010
3771058;1923379;1847679;2010;40;44;2010
3480003;1751653;1728350;2010;45;49;2010
3049954;1517996;1531958;2010;50;54;2010
2578223;1269787;1308436;2010;55;59;2010
2445247;1182525;1262722;2010;60;64;2010
2074945;986345;1088600;2010;65;69;2010
1738574;788678;949896;2010;70;74;2010
1737789;746369;991420;2010;75;79;2010
1243187;483876;759311;2010;80;84;2010
1015905;319870;696035;2010;85;NA;2010
2498449;1289348;1209101;2011;0;4;2011
2347840;1206431;1141409;2011;5;9;2011
2167410;1114535;1052875;2011;10;14;2011
2228086;1148567;1079519;2011;15;19;2011
2568267;1305493;1262774;2011;20;24;2011
3225923;1639319;1586604;2011;25;29;2011
4008886;2063851;1945035;2011;30;34;2011
4049367;2090009;1959358;2011;35;39;2011
3808223;1945445;1862778;2011;40;44;2011
3541523;1783445;1758078;2011;45;49;2011
3154523;1570932;1583591;2011;50;54;2011
2645892;1303616;1342276;2011;55;59;2011
2439790;1181936;1257854;2011;60;64;2011
2103623;1000844;1102779;2011;65;69;2011
1768965;806556;962409;2011;70;74;2011
1743238;752522;990716;2011;75;79;2011
1291221;505463;785758;2011;80;84;2011
1075948;341168;734780;2011;85;NA;2011
2476594;1278206;1198388;2012;0;4;2012
2397808;1233541;1164267;2012;5;9;2012
2202538;1133020;1069518;2012;10;14;2012
2199410;1132171;1067239;2012;15;19;2012
2503813;1272417;1231396;2012;20;24;2012
3065915;1547933;1517982;2012;25;29;2012
3869456;1981932;1887524;2012;30;34;2012
4091220;2107352;1983868;2012;35;39;2012
3846088;1965304;1880784;2012;40;44;2012
3610981;1820735;1790246;2012;45;49;2012
3238287;1613015;1625272;2012;50;54;2012
2720824;1340833;1379991;2012;55;59;2012
2467244;1197146;1270098;2012;60;64;2012
2192459;1042213;1150246;2012;65;69;2012
1710595;785328;925267;2012;70;74;2012
1760623;760328;1000295;2012;75;79;2012
1324628;523081;801547;2012;80;84;2012
1139736;364457;775279;2012;85;NA;2012
2419493;1248452;1171041;2013;0;4;2013
2437125;1254375;1182750;2013;5;9;2013
2223892;1144463;1079429;2013;10;14;2013
2165376;1114406;1050970;2013;15;19;2013
2445358;1242954;1202404;2013;20;24;2013
2903524;1459175;1444349;2013;25;29;2013
3688812;1876845;1811967;2013;30;34;2013
4078710;2095219;1983491;2013;35;39;2013
3854011;1968774;1885237;2013;40;44;2013
3666891;1848469;1818422;2013;45;49;2013
3283285;1635299;1647986;2013;50;54;2013
2793041;1374569;1418472;2013;55;59;2013
2500210;1214516;1285694;2013;60;64;2013
2266799;1077026;1189773;2013;65;69;2013
1711640;788496;923144;2013;70;74;2013
1724535;746141;978394;2013;75;79;2013
1368251;543365;824886;2013;80;84;2013
1181697;380682;801015;2013;85;NA;2013
2315647;1193987;1121660;2014;0;4;2014
2472955;1274351;1198604;2014;5;9;2014
2263254;1162796;1100458;2014;10;14;2014
2139358;1101709;1037649;2014;15;19;2014
2377665;1209860;1167805;2014;20;24;2014
2757946;1382795;1375151;2014;25;29;2014
3466353;1752778;1713575;2014;30;34;2014
4037967;2067176;1970791;2014;35;39;2014
3859317;1969683;1889634;2014;40;44;2014
3688374;1859118;1829256;2014;45;49;2014
3330740;1659100;1671640;2014;50;54;2014
2874610;1414555;1460055;2014;55;59;2014
2488882;1209758;1279124;2014;60;64;2014
2323532;1104565;1218967;2014;65;69;2014
1806428;834469;971959;2014;70;74;2014
1649395;714837;934558;2014;75;79;2014
1401403;559852;841551;2014;80;84;2014
1241918;403321;838597;2014;85;NA;2014
2249655;1159445;1090210;2015;0;4;2015
2477381;1277019;1200362;2015;5;9;2015
2301165;1183120;1118045;2015;10;14;2015
2149931;1106371;1043560;2015;15;19;2015
2322655;1183926;1138729;2015;20;24;2015
2652173;1329608;1322565;2015;25;29;2015
3285906;1655654;1630252;2015;30;34;2015
3958989;2020049;1938940;2015;35;39;2015
3891906;1985447;1906459;2015;40;44;2015
3688811;1860286;1828525;2015;45;49;2015
3405351;1696364;1708987;2015;50;54;2015
2973968;1464288;1509680;2015;55;59;2015
2503217;1216915;1286302;2015;60;64;2015
2351644;1117501;1234143;2015;65;69;2015
1943723;899501;1044222;2015;70;74;2015
1548157;670864;877293;2015;75;79;2015
1422651;571202;851449;2015;80;84;2015
1298439;425161;873278;2015;85;NA;2015
2192080;1129477;1062603;2016;0;4;2016
2470184;1274057;1196127;2016;5;9;2016
2335250;1199064;1136186;2016;10;14;2016
2179618;1122161;1057457;2016;15;19;2016
2283712;1165891;1117821;2016;20;24;2016
2578037;1293301;1284736;2016;25;29;2016
3121560;1567414;1554146;2016;30;34;2016
3864749;1965567;1899182;2016;35;39;2016
3929955;2004099;1925856;2016;40;44;2016
3711600;1874316;1837284;2016;45;49;2016
3456982;1722429;1734553;2016;50;54;2016
3068177;1510483;1557694;2016;55;59;2016
2562777;1245315;1317462;2016;60;64;2016
2340848;1113191;1227657;2016;65;69;2016
1968800;911420;1057380;2016;70;74;2016
1577308;687168;890140;2016;75;79;2016
1427204;575703;851501;2016;80;84;2016
1350043;445389;904654;2016;85;NA;2016
2138636;1101223;1037413;2017;0;4;2017
