"all";"male";"female";"year.ref";"age.min";"age.max";"year"
4006906;2047495;1959411;2010;0;4;2010
4043858;2069103;1974755;2010;5;9;2010
3956712;2027561;1929151;2010;10;14;2010
4014434;2052547;1961887;2010;15;19;2010
4033745;2027259;2006486;2010;20;24;2010
4019965;1983490;2036475;2010;25;29;2010
3933821;1945923;1987898;2010;30;34;2010
4512159;2241280;2270879;2010;35;39;2010
4508910;2230364;2278546;2010;40;44;2010
4507489;2214662;2292827;2010;45;49;2010
4299535;2095626;2203909;2010;50;54;2010
4205771;2043933;2161838;2010;55;59;2010
3876226;1879969;1996257;2010;60;64;2010
2611118;1239358;1371760;2010;65;69;2010
2464729;1109278;1355451;2010;70;74;2010
2293802;956651;1337151;2010;75;79;2010
1777155;664434;1112721;2010;80;84;2010
1592521;472831;1119690;2010;85;NA;2010
4027951;2060189;1967762;2011;0;4;2011
4028667;2060719;1967948;2011;5;9;2011
4012743;2055400;1957343;2011;10;14;2011
3980103;2036045;1944058;2011;15;19;2011
4017384;2021818;1995566;2011;20;24;2011
3984342;1963953;2020389;2011;25;29;2011
3993537;1972885;2020652;2011;30;34;2011
4418575;2195449;2223126;2011;35;39;2011
4502576;2228476;2274100;2011;40;44;2011
4530811;2227954;2302857;2011;45;49;2011
4324450;2112395;2212055;2011;50;54;2011
4172108;2022454;2149654;2011;55;59;2011
4108927;1989310;2119617;2011;60;64;2011
2684105;1275283;1408822;2011;65;69;2011
2431414;1101383;1330031;2011;70;74;2011
2269226;952762;1316464;2011;75;79;2011
1811011;683579;1127432;2011;80;84;2011
1680791;502848;1177943;2011;85;NA;2011
4020764;2053791;1966973;2012;0;4;2012
4054721;2074406;1980315;2012;5;9;2012
4054869;2076601;1978268;2012;10;14;2012
3925548;2008485;1917063;2012;15;19;2012
3987272;2007534;1979738;2012;20;24;2012
3963811;1955153;2008658;2012;25;29;2012
4068574;2005103;2063471;2012;30;34;2012
4285424;2126921;2158503;2012;35;39;2012
4519227;2238928;2280299;2012;40;44;2012
4551636;2241149;2310487;2012;45;49;2012
4350717;2125569;2225148;2012;50;54;2012
4182983;2024680;2158303;2012;55;59;2012
4123400;1991104;2132296;2012;60;64;2012
2968321;1411478;1556843;2012;65;69;2012
2372182;1080455;1291727;2012;70;74;2012
2254490;953023;1301467;2012;75;79;2012
1833898;700124;1133774;2012;80;84;2012
1759146;530879;1228267;2012;85;NA;2012
4017263;2054860;1962403;2013;0;4;2013
4079151;2087105;1992046;2013;5;9;2013
4096891;2098064;1998827;2013;10;14;2013
3911515;2001402;1910113;2013;15;19;2013
3957404;1995712;1961692;2013;20;24;2013
3931802;1939031;1992771;2013;25;29;2013
4118479;2025281;2093198;2013;30;34;2013
4169742;2067773;2101969;2013;35;39;2013
4566996;2265871;2301125;2013;40;44;2013
4548225;2240977;2307248;2013;45;49;2013
4371964;2138928;2233036;2013;50;54;2013
4184730;2026150;2158580;2013;55;59;2013
4121783;1983485;2138298;2013;60;64;2013
3234527;1537970;1696557;2013;65;69;2013
2371924;1087272;1284652;2013;70;74;2013
2229804;950157;1279647;2013;75;79;2013
1865947;718470;1147477;2013;80;84;2013
1822203;554157;1268046;2013;85;NA;2013
4026337;2058846;1967491;2014;0;4;2014
4148663;2121376;2027287;2014;5;9;2014
4151685;2125582;2026103;2014;10;14;2014
3976653;2034528;1942125;2014;15;19;2014
3903097;1970913;1932184;2014;20;24;2014
3969470;1954490;2014980;2014;25;29;2014
4143067;2032809;2110258;2014;30;34;2014
4087317;2023666;2063651;2014;35;39;2014
4596139;2282011;2314128;2014;40;44;2014
4535795;2234814;2300981;2014;45;49;2014
4431312;2169871;2261441;2014;50;54;2014
4212785;2039560;2173225;2014;55;59;2014
4098261;1967351;2130910;2014;60;64;2014
3483363;1656449;1826914;2014;65;69;2014
2404680;1108178;1296502;2014;70;74;2014
2230617;958108;1272509;2014;75;79;2014
1876052;727043;1149009;2014;80;84;2014
1890687;579534;1311153;2014;85;NA;2014
3994218;2038845;1955373;2015;0;4;2015
4175455;2136046;2039409;2015;5;9;2015
4176368;2135786;2040582;2015;10;14;2015
4021728;2059546;1962182;2015;15;19;2015
3837503;1938406;1899097;2015;20;24;2015
3968587;1953598;2014989;2015;25;29;2015
4146270;2029025;2117245;2015;30;34;2015
4053739;1999995;2053744;2015;35;39;2015
4558124;2261879;2296245;2015;40;44;2015
4508550;2224093;2284457;2015;45;49;2015
4466248;2188570;2277678;2015;50;54;2015
4233180;2047593;2185587;2015;55;59;2015
4083926;1957236;2126690;2015;60;64;2015
3711371;1763577;1947794;2015;65;69;2015
