"all";"male";"female";"year.ref";"age.min";"age.max";"year"
348445;178133;170312;2010;0;4;2010
310630;158962;151668;2010;5;9;2010
294200;151069;143131;2010;10;14;2010
289938;148194;141744;2010;15;19;2010
335288;163987;171301;2010;20;24;2010
390373;191173;199200;2010;25;29;2010
376630;187878;188752;2010;30;34;2010
357595;180165;177430;2010;35;39;2010
319721;161221;158500;2010;40;44;2010
299509;149536;149973;2010;45;49;2010
265827;133062;132765;2010;50;54;2010
238576;119942;118634;2010;55;59;2010
212380;106805;105575;2010;60;64;2010
161661;80578;81083;2010;65;69;2010
126904;61175;65729;2010;70;74;2010
98052;44609;53443;2010;75;79;2010
67725;26960;40765;2010;80;84;2010
55974;17525;38449;2010;85;NA;2010
360104;184043;176061;2011;0;4;2011
312884;160371;152513;2011;5;9;2011
299110;153437;145673;2011;10;14;2011
282000;144936;137064;2011;15;19;2011
306052;150981;155071;2011;20;24;2011
375490;180676;194814;2011;25;29;2011
387123;192639;194484;2011;30;34;2011
360873;181128;179745;2011;35;39;2011
326899;165109;161790;2011;40;44;2011
303340;151213;152127;2011;45;49;2011
271625;135723;135902;2011;50;54;2011
242213;121374;120839;2011;55;59;2011
216303;108611;107692;2011;60;64;2011
169883;84597;85286;2011;65;69;2011
129521;62732;66789;2011;70;74;2011
100260;45750;54510;2011;75;79;2011
68942;27790;41152;2011;80;84;2011
58259;18316;39943;2011;85;NA;2011
358152;182694;175458;2012;0;4;2012
323719;165589;158130;2012;5;9;2012
303964;155885;148079;2012;10;14;2012
281092;144056;137036;2012;15;19;2012
288296;143237;145059;2012;20;24;2012
346916;166364;180552;2012;25;29;2012
393954;193828;200126;2012;30;34;2012
364651;182167;182484;2012;35;39;2012
333240;167466;165774;2012;40;44;2012
306971;152603;154368;2012;45;49;2012
276790;137650;139140;2012;50;54;2012
247025;123375;123650;2012;55;59;2012
219002;109861;109141;2012;60;64;2012
179256;89352;89904;2012;65;69;2012
132476;64312;68164;2012;70;74;2012
103262;47405;55857;2012;75;79;2012
71088;29271;41817;2012;80;84;2012
59433;18884;40549;2012;85;NA;2012
354785;180777;174008;2013;0;4;2013
331793;169798;161995;2013;5;9;2013
306351;156834;149517;2013;10;14;2013
283640;145510;138130;2013;15;19;2013
280483;140392;140091;2013;20;24;2013
326669;156853;169816;2013;25;29;2013
392130;191381;200749;2013;30;34;2013
366363;182628;183735;2013;35;39;2013
339629;170281;169348;2013;40;44;2013
309419;153855;155564;2013;45;49;2013
281808;140302;141506;2013;50;54;2013
250151;124661;125490;2013;55;59;2013
222484;111191;111293;2013;60;64;2013
187723;93700;94023;2013;65;69;2013
137408;66781;70627;2013;70;74;2013
105538;48790;56748;2013;75;79;2013
72948;30556;42392;2013;80;84;2013
60457;19172;41285;2013;85;NA;2013
347769;177242;170527;2014;0;4;2014
340128;174011;166117;2014;5;9;2014
309118;157964;151154;2014;10;14;2014
289110;148461;140649;2014;15;19;2014
277122;139616;137506;2014;20;24;2014
309754;148881;160873;2014;25;29;2014
385021;186521;198500;2014;30;34;2014
370541;183487;187054;2014;35;39;2014
345449;172275;173174;2014;40;44;2014
311925;155718;156207;2014;45;49;2014
287617;142734;144883;2014;50;54;2014
254542;126693;127849;2014;55;59;2014
225516;112476;113040;2014;60;64;2014
195535;97680;97855;2014;65;69;2014
142932;69706;73226;2014;70;74;2014
108230;50138;58092;2014;75;79;2014
75505;32239;43266;2014;80;84;2014
62038;20008;42030;2014;85;NA;2014
340419;173576;166843;2015;0;4;2015
347408;177630;169778;2015;5;9;2015
313579;160489;153090;2015;10;14;2015
294505;151089;143416;2015;15;19;2015
275991;139870;136121;2015;20;24;2015
300545;144504;156041;2015;25;29;2015
372431;179055;193376;2015;30;34;2015
377485;185986;191499;2015;35;39;2015
351901;174532;177369;2015;40;44;2015
316059;157866;158193;2015;45;49;2015
293486;145386;148100;2015;50;54;2015
259193;128639;130554;2015;55;59;2015
229764;114561;115203;2015;60;64;2015
201997;100585;101412;2015;65;69;2015
149225;72771;76454;2015;70;74;2015
111281;51960;59321;2015;75;79;2015
77987;33667;44320;2015;80;84;2015
64371;21176;43195;2015;85;NA;2015
333134;170459;162675;2016;0;4;2016
353681;180507;173174;2016;5;9;2016
317689;162591;155098;2016;10;14;2016
