"all";"male";"female";"year.ref";"age.min";"age.max";"year"
2822037;1453162;1368875;2010;0;4;2010
2807843;1445213;1362630;2010;5;9;2010
2785425;1435728;1349697;2010;10;14;2010
2941153;1515214;1425939;2010;15;19;2010
3051364;1553865;1497499;2010;20;24;2010
3396597;1701031;1695566;2010;25;29;2010
4114496;2056158;2058338;2010;30;34;2010
4718939;2354105;2364834;2010;35;39;2010
4891294;2435317;2455977;2010;40;44;2010
4606933;2276433;2330500;2010;45;49;2010
4020325;1969763;2050562;2010;50;54;2010
3690217;1796129;1894088;2010;55;59;2010
3689905;1784939;1904966;2010;60;64;2010
3163420;1495025;1668395;2010;65;69;2010
3037941;1386332;1651609;2010;70;74;2010
2525832;1073069;1452763;2010;75;79;2010
1875153;710687;1164466;2010;80;84;2010
1551442;460857;1090585;2010;85;NA;2010
2814758;1448907;1365851;2011;0;4;2011
2809995;1447169;1362826;2011;5;9;2011
2815128;1451672;1363456;2011;10;14;2011
2917378;1504907;1412471;2011;15;19;2011
3075031;1567520;1507511;2011;20;24;2011
3357372;1680483;1676889;2011;25;29;2011
3954616;1973088;1981528;2011;30;34;2011
4689885;2335658;2354227;2011;35;39;2011
4870390;2419683;2450707;2011;40;44;2011
4738991;2340009;2398982;2011;45;49;2011
4115911;2012811;2103100;2011;50;54;2011
3710147;1802581;1907566;2011;55;59;2011
3824379;1848419;1975960;2011;60;64;2011
3051944;1445523;1606421;2011;65;69;2011
3106471;1422470;1684001;2011;70;74;2011
2528778;1082891;1445887;2011;75;79;2011
1931624;739185;1192439;2011;80;84;2011
1635699;491853;1143846;2011;85;NA;2011
2783769;1432540;1351229;2012;0;4;2012
2819562;1452612;1366950;2012;5;9;2012
2830915;1459751;1371164;2012;10;14;2012
2896250;1494739;1401511;2012;15;19;2012
3099677;1582007;1517670;2012;20;24;2012
3314664;1661624;1653040;2012;25;29;2012
3809575;1898701;1910874;2012;30;34;2012
4601481;2291138;2310343;2012;35;39;2012
4846233;2403622;2442611;2012;40;44;2012
4838039;2389457;2448582;2012;45;49;2012
4219694;2062308;2157386;2012;50;54;2012
3771147;1830771;1940376;2012;55;59;2012
3754974;1813104;1941870;2012;60;64;2012
3179331;1510201;1669130;2012;65;69;2012
3127001;1435882;1691119;2012;70;74;2012
2537412;1093613;1443799;2012;75;79;2012
1963059;757010;1206049;2012;80;84;2012
1712402;521267;1191135;2012;85;NA;2012
2761737;1420393;1341344;2013;0;4;2013
2836532;1461606;1374926;2013;5;9;2013
2836934;1462179;1374755;2013;10;14;2013
2865512;1479467;1386045;2013;15;19;2013
3125714;1597586;1528128;2013;20;24;2013
3278455;1648154;1630301;2013;25;29;2013
3721266;1858508;1862758;2013;30;34;2013
4499274;2241507;2257767;2013;35;39;2013
4833220;2399888;2433332;2013;40;44;2013
4912951;2428487;2484464;2013;45;49;2013
4328297;2115745;2212552;2013;50;54;2013
3848124;1866883;1981241;2013;55;59;2013
3687838;1778383;1909455;2013;60;64;2013
3304792;1573159;1731633;2013;65;69;2013
3104623;1428311;1676312;2013;70;74;2013
2577066;1118432;1458634;2013;75;79;2013
1981859;772305;1209554;2013;80;84;2013
1773115;542906;1230209;2013;85;NA;2013
2707604;1392482;1315122;2014;0;4;2014
2846970;1466437;1380533;2014;5;9;2014
2840653;1463441;1377212;2014;10;14;2014
2850419;1472538;1377881;2014;15;19;2014
3099555;1585666;1513889;2014;20;24;2014
3266140;1645156;1620984;2014;25;29;2014
3628726;1815681;1813045;2014;30;34;2014
4374615;2182227;2192388;2014;35;39;2014
4809514;2389285;2420229;2014;40;44;2014
4949356;2448230;2501126;2014;45;49;2014
4457493;2180691;2276802;2014;50;54;2014
3920002;1899722;2020280;2014;55;59;2014
3615804;1743316;1872488;2014;60;64;2014
3441090;1640347;1800743;2014;65;69;2014
3041127;1401623;1639504;2014;70;74;2014
2644574;1154945;1489629;2014;75;79;2014
2010325;792100;1218225;2014;80;84;2014
1841950;567634;1274316;2014;85;NA;2014
2639830;1357468;1282362;2015;0;4;2015
2839650;1462602;1377048;2015;5;9;2015
2845693;1465682;1380011;2015;10;14;2015
2847440;1471623;1375817;2015;15;19;2015
3060268;1568016;1492252;2015;20;24;2015
3235616;1632389;1603227;2015;25;29;2015
3548205;1777269;1770936;2015;30;34;2015
4189436;2090497;2098939;2015;35;39;2015
4773914;2372761;2401153;2015;40;44;2015
4922880;2434839;2488041;2015;45;49;2015
4606435;2256890;2349545;2015;50;54;2015
3991998;1935899;2056099;2015;55;59;2015
3612371;1739659;1872712;2015;60;64;2015
3551096;1693914;1857182;2015;65;69;2015
2958073;1366382;1591691;2015;70;74;2015
2716379;1193933;1522446;2015;75;79;2015
2043916;813078;1230838;2015;80;84;2015
1912297;595414;1316883;2015;85;NA;2015
2563779;1318145;1245634;2016;0;4;2016
2826949;1455758;1371191;2016;5;9;2016
2832275;1458782;1373493;2016;10;14;2016
2863240;1481543;1381697;2016;15;19;2016
3011433;1548070;1463363;2016;20;24;2016
3218786;1630161;1588625;2016;25;29;2016
3480793;1745448;1735345;2016;30;34;2016
4019133;2008575;2010558;2016;35;39;2016
4725830;2350455;2375375;2016;40;44;2016
4883298;2415488;2467810;2016;45;49;2016
4720066;2317040;2403026;2016;50;54;2016
4071859;1975477;2096382;2016;55;59;2016
3625089;1744669;1880420;2016;60;64;2016
3670374;1750585;1919789;2016;65;69;2016
2848705;1319426;1529279;2016;70;74;2016
2775042;1225371;1549671;2016;75;79;2016
2050515;825083;1225432;2016;80;84;2016
1976546;622968;1353578;2016;85;NA;2016
2491284;1280114;1211170;2017;0;4;2017
2793205;1437309;1355896;2017;5;9;2017
2830996;1458236;1372760;2017;10;14;2017
2870747;1488973;1381774;2017;15;19;2017
2982184;1542310;1439874;2017;20;24;2017
3215851;1635281;1580570;2017;25;29;2017
3412512;1715561;1696951;2017;30;34;2017
3872779;1937391;1935388;2017;35;39;2017
4628648;2304990;2323658;2017;40;44;2017
4850613;2399270;2451343;2017;45;49;2017
4808923;2365230;2443693;2017;50;54;2017
4166061;2022301;2143760;2017;55;59;2017
3680986;1771498;1909488;2017;60;64;2017
3599731;1716164;1883567;2017;65;69;2017
2965634;1378696;1586938;2017;70;74;2017
2790572;1236901;1553671;2017;75;79;2017
2063678;837435;1226243;2017;80;84;2017
2042330;650994;1391336;2017;85;NA;2017
2414284;1240716;1173568;2018;0;4;2018
2752385;1415685;1336700;2018;5;9;2018
2836003;1460821;1375182;2018;10;14;2018
2879427;1498395;1381032;2018;15;19;2018
2961062;1542317;1418745;2018;20;24;2018
3216640;1642764;1573876;2018;25;29;2018
3346272;1685990;1660282;2018;30;34;2018
3758255;1882228;1876027;2018;35;39;2018
4504958;2243936;2261022;2018;40;44;2018
4818286;2386913;2431373;2018;45;49;2018
4870982;2398413;2472569;2018;50;54;2018
4263608;2071992;2191616;2018;55;59;2018
3750459;1804973;1945486;2018;60;64;2018
3534776;1683852;1850924;2018;65;69;2018
3083893;1438186;1645707;2018;70;74;2018
2767716;1229670;1538046;2018;75;79;2018
2098937;859818;1239119;2018;80;84;2018
2079826;669800;1410026;2018;85;NA;2018
2338752;1202154;1136598;2019;0;4;2019
2691273;1384656;1306617;2019;5;9;2019
2841862;1463509;1378353;2019;10;14;2019
2873676;1491241;1382435;2019;15;19;2019
2962307;1552308;1409999;2019;20;24;2019
3175599;1627406;1548193;2019;25;29;2019
3320500;1677573;1642927;2019;30;34;2019
3654733;1833356;1821377;2019;35;39;2019
4372031;2181460;2190571;2019;40;44;2019
4785280;2372986;2412294;2019;45;49;2019
4900974;2416404;2484570;2019;50;54;2019
4387417;2135805;2251612;2019;55;59;2019
3819054;1837266;1981788;2019;60;64;2019
3468709;1652883;1815826;2019;65;69;2019
3215420;1502831;1712589;2019;70;74;2019
2712798;1208294;1504504;2019;75;79;2019
2162715;894089;1268626;2019;80;84;2019
2133573;696974;1436599;2019;85;NA;2019
2264538;1163198;1101340;2020;0;4;2020
2627956;1352240;1275716;2020;5;9;2020
2835060;1460449;1374611;2020;10;14;2020
2871056;1485465;1385591;2020;15;19;2020
2955888;1549020;1406868;2020;20;24;2020
3128494;1605444;1523050;2020;25;29;2020
3282441;1658749;1623692;2020;30;34;2020
3572191;1792981;1779210;2020;35;39;2020
4187464;2089198;2098266;2020;40;44;2020
4749765;2356800;2392965;2020;45;49;2020
4876704;2404144;2472560;2020;50;54;2020
4537491;2213008;2324483;2020;55;59;2020
3893350;1874922;2018428;2020;60;64;2020
3471014;1652740;1818274;2020;65;69;2020
3324360;1555306;1769054;2020;70;74;2020
2644013;1181233;1462780;2020;75;79;2020
2231536;930787;1300749;2020;80;84;2020
2188167;724412;1463755;2020;85;NA;2020
2216510;1138845;1077665;2021;0;4;2021
2578340;1326061;1252279;2021;5;9;2021
2841695;1463873;1377822;2021;10;14;2021
2857013;1476815;1380198;2021;15;19;2021
2957340;1549500;1407840;2021;20;24;2021
3045579;1566265;1479314;2021;25;29;2021
3226146;1633887;1592259;2021;30;34;2021
3483252;1747529;1735723;2021;35;39;2021
4008570;2001502;2007068;2021;40;44;2021
4692501;2329457;2363044;2021;45;49;2021
4817675;2377041;2440634;2021;50;54;2021
4623965;2261108;2362857;2021;55;59;2021
3946096;1901209;2044887;2021;60;64;2021
3474333;1652948;1821385;2021;65;69;2021
3441171;1609510;1831661;2021;70;74;2021
2547210;1140634;1406576;2021;75;79;2021
2277963;953118;1324845;2021;80;84;2021
2200854;736924;1463930;2021;85;NA;2021
2142834;1101059;1041775;2022;0;4;2022
2523317;1297135;1226182;2022;5;9;2022
2823644;1453792;1369852;2022;10;14;2022
2866117;1482037;1384080;2022;15;19;2022
2923341;1532384;1390957;2022;20;24;2022
3001345;1550618;1450727;2022;25;29;2022
3211649;1631425;1580224;2022;30;34;2022
3412872;1717489;1695383;2022;35;39;2022
3868084;1935510;1932574;2022;40;44;2022
4609870;2293863;2316007;2022;45;49;2022
4807237;2375261;2431976;2022;50;54;2022
4735135;2324641;2410494;2022;55;59;2022
4053284;1960517;2092767;2022;60;64;2022
3527442;1683212;1844230;2022;65;69;2022
3368919;1577285;1791634;2022;70;74;2022
2649517;1191693;1457824;2022;75;79;2022
2283923;959390;1324533;2022;80;84;2022
2221603;751645;1469958;2022;85;NA;2022
2085244;1071800;1013444;2023;0;4;2023
2464447;1267059;1197388;2023;5;9;2023
2794408;1438429;1355979;2023;10;14;2023
2895108;1499125;1395983;2023;15;19;2023
2938344;1538083;1400261;2023;20;24;2023
2995670;1554288;1441382;2023;25;29;2023
3234123;1646844;1587279;2023;30;34;2023
3366663;1694901;1671762;2023;35;39;2023
3773564;1888147;1885417;2023;40;44;2023
4503977;2238651;2265326;2023;45;49;2023
4791465;2367613;2423852;2023;50;54;2023
4810601;2360997;2449604;2023;55;59;2023
4162290;2012922;2149368;2023;60;64;2023
3601512;1717751;1883761;2023;65;69;2023
3312180;1549520;1762660;2023;70;74;2023
2760935;1246635;1514300;2023;75;79;2023
2263224;952683;1310541;2023;80;84;2023
2243446;769384;1474062;2023;85;NA;2023
2031476;1044103;987373;2024;0;4;2024
2409672;1239204;1170468;2024;5;9;2024
2745119;1413544;1331575;2024;10;14;2024
2921261;1515176;1406085;2024;15;19;2024
2950359;1544804;1405555;2024;20;24;2024
3012211;1575454;1436757;2024;25;29;2024
3213337;1643289;1570048;2024;30;34;2024
3357101;1694951;1662150;2024;35;39;2024
3680853;1844218;1836635;2024;40;44;2024
4380844;2179772;2201072;2024;45;49;2024
4770527;2358247;2412280;2024;50;54;2024
4848988;2382140;2466848;2024;55;59;2024
4292746;2079202;2213544;2024;60;64;2024
3672071;1751451;1920620;2024;65;69;2024
3254150;1524286;1729864;2024;70;74;2024
2887393;1309011;1578382;2024;75;79;2024
2223335;939448;1283887;2024;80;84;2024
2319787;808428;1511359;2024;85;NA;2024
