"all";"male";"female";"year.ref";"age_min";"age.max";"year"
918736;470167;448569;2012;0;4;2012
968692;495725;472967;2012;5;9;2012
1009231;515672;493559;2012;10;14;2012
998095;511084;487011;2012;15;19;2012
1049537;530628;518909;2012;20;24;2012
1011311;509383;501928;2012;25;29;2012
1009259;505168;504091;2012;30;34;2012
1071786;534971;536815;2012;35;39;2012
1288553;648488;640065;2012;40;44;2012
1297305;654971;642334;2012;45;49;2012
1216443;610743;605700;2012;50;54;2012
1104542;553696;550846;2012;55;59;2012
1070490;536329;534161;2012;60;64;2012
874056;432989;441067;2012;65;69;2012
649753;310115;339638;2012;70;74;2012
506544;224507;282037;2012;75;79;2012
368582;144421;224161;2012;80;84;2012
317433;93814;223619;2012;85;NA;2012
912202;467233;444969;2013;0;4;2013
949986;485899;464087;2013;5;9;2013
1015734;519387;496347;2013;10;14;2013
992851;507759;485092;2013;15;19;2013
1056687;534217;522470;2013;20;24;2013
1023390;515626;507764;2013;25;29;2013
1009469;505399;504070;2013;30;34;2013
1030812;514199;516613;2013;35;39;2013
1270190;636830;633360;2013;40;44;2013
1292024;652230;639794;2013;45;49;2013
1234911;619877;615034;2013;50;54;2013
1115177;558271;556906;2013;55;59;2013
1051797;526876;524921;2013;60;64;2013
941814;466591;475223;2013;65;69;2013
667580;320207;347373;2013;70;74;2013
512131;229236;282895;2013;75;79;2013
377863;149695;228168;2013;80;84;2013
324957;97807;227150;2013;85;NA;2013
897669;459794;437875;2014;0;4;2014
936162;479135;457027;2014;5;9;2014
1016243;519726;496517;2014;10;14;2014
995966;509469;486497;2014;15;19;2014
1062309;537679;524630;2014;20;24;2014
1036778;522520;514258;2014;25;29;2014
1006877;504790;502087;2014;30;34;2014
1011688;504694;506994;2014;35;39;2014
1232315;616191;616124;2014;40;44;2014
1285478;648065;637413;2014;45;49;2014
1253267;629198;624069;2014;50;54;2014
1131309;565898;565411;2014;55;59;2014
1044204;522346;521858;2014;60;64;2014
985760;488688;497072;2014;65;69;2014
688947;331824;357123;2014;70;74;2014
527228;238308;288920;2014;75;79;2014
383047;153762;229285;2014;80;84;2014
334042;102298;231744;2014;85;NA;2014
888322;454728;433594;2015;0;4;2015
929655;476048;453607;2015;5;9;2015
1009089;515675;493414;2015;10;14;2015
1000993;512283;488710;2015;15;19;2015
1069032;542322;526710;2015;20;24;2015
1050674;529400;521274;2015;25;29;2015
1012741;508503;504238;2015;30;34;2015
1002000;500143;501857;2015;35;39;2015
1176864;586818;590046;2015;40;44;2015
1285917;647318;638599;2015;45;49;2015
1270184;638084;632100;2015;50;54;2015
1151386;575631;575755;2015;55;59;2015
1046184;522826;523358;2015;60;64;2015
1014432;503209;511223;2015;65;69;2015
715743;346275;369468;2015;70;74;2015
542534;247171;295363;2015;75;79;2015
390492;158901;231591;2015;80;84;2015
344484;107523;236961;2015;85;NA;2015
876854;449312;427542;2016;0;4;2016
930038;476011;454027;2016;5;9;2016
992880;507764;485116;2016;10;14;2016
1018727;521725;497002;2016;15;19;2016
1065946;541020;524926;2016;20;24;2016
1071002;540790;530212;2016;25;29;2016
1017341;511331;506010;2016;30;34;2016
1009413;504350;505063;2016;35;39;2016
1119982;557618;562364;2016;40;44;2016
1286744;646349;640395;2016;45;49;2016
1280519;643844;636675;2016;50;54;2016
1170614;585735;584879;2016;55;59;2016
1053752;525615;528137;2016;60;64;2016
1046703;519227;527476;2016;65;69;2016
729512;353646;375866;2016;70;74;2016
560345;257171;303174;2016;75;79;2016
394936;163046;231890;2016;80;84;2016
353812;112581;241231;2016;85;NA;2016
872289;447152;425137;2017;0;4;2017
929180;475593;453587;2017;5;9;2017
980299;501845;478454;2017;10;14;2017
1035405;530288;505117;2017;15;19;2017
1066243;542404;523839;2017;20;24;2017
1090087;552023;538064;2017;25;29;2017
1032122;519664;512458;2017;30;34;2017
1018187;508665;509522;2017;35;39;2017
1073880;534389;539491;2017;40;44;2017
1282591;643263;639328;2017;45;49;2017
1281617;644905;636712;2017;50;54;2017
1191605;596070;595535;2017;55;59;2017
1068342;532366;535976;2017;60;64;2017
1015641;503756;511885;2017;65;69;2017
807859;392865;414994;2017;70;74;2017
571885;264275;307610;2017;75;79;2017
402119;168051;234068;2017;80;84;2017
362156;117528;244628;2017;85;NA;2017
868099;445020;423079;2018;0;4;2018
928066;475503;452563;2018;5;9;2018
966459;494511;471948;2018;10;14;2018
1048032;536852;511180;2018;15;19;2018
1068781;542817;525964;2018;20;24;2018
1106157;560319;545838;2018;25;29;2018
1052789;530554;522235;2018;30;34;2018
1025356;512925;512431;2018;35;39;2018
1038312;516723;521589;2018;40;44;2018
1268823;634188;634635;2018;45;49;2018
1279846;644223;635623;2018;50;54;2018
1211510;606130;605380;2018;55;59;2018
1079738;537540;542198;2018;60;64;2018
999537;495875;503662;2018;65;69;2018
871925;424486;447439;2018;70;74;2018
588740;273902;314838;2018;75;79;2018
408255;172825;235430;2018;80;84;2018
370659;122648;248011;2018;85;NA;2018
