"all";"male";"female";"year.ref";"age.min";"age.max";"year"
513411;262493;250918;2010;0;4;2010
549205;281447;267758;2010;5;9;2010
555377;284370;271007;2010;10;14;2010
574258;292970;281288;2010;15;19;2010
591797;299195;292602;2010;20;24;2010
694667;344969;349698;2010;25;29;2010
806957;396956;410001;2010;30;34;2010
813892;398779;415113;2010;35;39;2010
775647;379027;396620;2010;40;44;2010
774901;375975;398926;2010;45;49;2010
713593;344096;369497;2010;50;54;2010
667204;318131;349073;2010;55;59;2010
612174;284884;327290;2010;60;64;2010
521732;236721;285011;2010;65;69;2010
497868;217854;280014;2010;70;74;2010
421069;173768;247301;2010;75;79;2010
283512;105620;177892;2010;80;84;2010
206215;66490;139725;2010;85;NA;2010
499554;255047;244507;2011;0;4;2011
532011;273423;258588;2011;5;9;2011
563608;288214;275394;2011;10;14;2011
567144;289407;277737;2011;15;19;2011
584024;294246;289778;2011;20;24;2011
662622;328394;334228;2011;25;29;2011
781969;382947;399022;2011;30;34;2011
827511;404751;422760;2011;35;39;2011
776647;379550;397097;2011;40;44;2011
780201;377868;402333;2011;45;49;2011
725500;350510;374990;2011;50;54;2011
674676;320909;353767;2011;55;59;2011
620832;290506;330326;2011;60;64;2011
536679;242817;293862;2011;65;69;2011
492639;216068;276571;2011;70;74;2011
428859;177446;251413;2011;75;79;2011
293074;109633;183441;2011;80;84;2011
225171;71807;153364;2011;85;NA;2011
494741;253015;241726;2012;0;4;2012
526703;270286;256417;2012;5;9;2012
560709;286701;274008;2012;10;14;2012
558449;285216;273233;2012;15;19;2012
578016;291603;286413;2012;20;24;2012
635925;315494;320431;2012;25;29;2012
747882;364878;383004;2012;30;34;2012
829990;404052;425938;2012;35;39;2012
779270;379955;399315;2012;40;44;2012
778047;375781;402266;2012;45;49;2012
735609;354152;381457;2012;50;54;2012
675375;320310;355065;2012;55;59;2012
633696;297715;335981;2012;60;64;2012
548611;247976;300635;2012;65;69;2012
480877;212031;268846;2012;70;74;2012
430384;179874;250510;2012;75;79;2012
311828;119595;192233;2012;80;84;2012
252838;79755;173083;2012;85;NA;2012
485165;248348;236817;2013;0;4;2013
517723;265560;252163;2013;5;9;2013
557118;285525;271593;2013;10;14;2013
551985;281933;270052;2013;15;19;2013
570446;287617;282829;2013;20;24;2013
605309;300987;304322;2013;25;29;2013
714701;347325;367376;2013;30;34;2013
825954;400748;425206;2013;35;39;2013
784602;381366;403236;2013;40;44;2013
773120;372399;400721;2013;45;49;2013
742214;356042;386172;2013;50;54;2013
679551;322276;357275;2013;55;59;2013
646758;303738;343020;2013;60;64;2013
558976;252659;306317;2013;65;69;2013
477043;210563;266480;2013;70;74;2013
430222;179917;250305;2013;75;79;2013
320635;123307;197328;2013;80;84;2013
262367;82984;179383;2013;85;NA;2013
466541;238563;227978;2014;0;4;2014
511837;262647;249190;2014;5;9;2014
552624;283442;269182;2014;10;14;2014
547284;279884;267400;2014;15;19;2014
562395;283583;278812;2014;20;24;2014
581043;289195;291848;2014;25;29;2014
688140;333994;354146;2014;30;34;2014
809698;391082;418616;2014;35;39;2014
789321;381878;407443;2014;40;44;2014
767351;369114;398237;2014;45;49;2014
747484;357533;389951;2014;50;54;2014
688338;325863;362475;2014;55;59;2014
644335;302475;341860;2014;60;64;2014
576221;260751;315470;2014;65;69;2014
477976;210847;267129;2014;70;74;2014
432940;181460;251480;2014;75;79;2014
325736;125848;199888;2014;80;84;2014
274828;87186;187642;2014;85;NA;2014
451569;231268;220301;2015;0;4;2015
504363;258595;245768;2015;5;9;2015
542413;278458;263955;2015;10;14;2015
551643;281799;269844;2015;15;19;2015
553280;279488;273792;2015;20;24;2015
559416;278801;280615;2015;25;29;2015
665173;322820;342353;2015;30;34;2015
