"all";"male";"female";"year.ref";"age_min";"age.max";"year"
567369;291625;275744;2012;0;4;2012
530937;272248;258689;2012;5;9;2012
485964;249905;236059;2012;10;14;2012
592376;304768;287608;2012;15;19;2012
650862;332889;317973;2012;20;24;2012
595136;305922;289214;2012;25;29;2012
585111;299040;286071;2012;30;34;2012
625948;318113;307835;2012;35;39;2012
645713;327593;318120;2012;40;44;2012
662411;337234;325177;2012;45;49;2012
584502;295296;289206;2012;50;54;2012
574437;288780;285657;2012;55;59;2012
597421;297392;300029;2012;60;64;2012
578463;287651;290812;2012;65;69;2012
401432;193710;207722;2012;70;74;2012
306555;138935;167620;2012;75;79;2012
244891;100792;144099;2012;80;84;2012
253327;84941;168386;2012;85;NA;2012
573583;294723;278860;2013;0;4;2013
543993;279307;264686;2013;5;9;2013
494283;253966;240317;2013;10;14;2013
564627;290790;273837;2013;15;19;2013
667153;341574;325579;2013;20;24;2013
609060;311854;297206;2013;25;29;2013
591487;302237;289250;2013;30;34;2013
616777;313690;303087;2013;35;39;2013
640696;324499;316197;2013;40;44;2013
677490;345039;332451;2013;45;49;2013
588708;297800;290908;2013;50;54;2013
576186;289475;286711;2013;55;59;2013
583567;290593;292974;2013;60;64;2013
595931;295656;300275;2013;65;69;2013
422593;205273;217320;2013;70;74;2013
311611;142400;169211;2013;75;79;2013
245180;101818;143362;2013;80;84;2013
252968;85211;167757;2013;85;NA;2013
579019;297494;281525;2014;0;4;2014
557950;286732;271218;2014;5;9;2014
509132;261331;247801;2014;10;14;2014
543627;280793;262834;2014;15;19;2014
671940;343988;327952;2014;20;24;2014
631255;322761;308494;2014;25;29;2014
599989;306955;293034;2014;30;34;2014
608912;309885;299027;2014;35;39;2014
641199;324689;316510;2014;40;44;2014
681129;346209;334920;2014;45;49;2014
600575;304344;296231;2014;50;54;2014
576035;289530;286505;2014;55;59;2014
571895;285139;286756;2014;60;64;2014
603356;298911;304445;2014;65;69;2014
448830;218880;229950;2014;70;74;2014
322304;148372;173932;2014;75;79;2014
242688;101735;140953;2014;80;84;2014
255029;86609;168420;2014;85;NA;2014
584157;300184;283973;2015;0;4;2015
571614;293755;277859;2015;5;9;2015
526262;270418;255844;2015;10;14;2015
527236;273055;254181;2015;15;19;2015
671529;344583;326946;2015;20;24;2015
655755;335238;320517;2015;25;29;2015
609378;312360;297018;2015;30;34;2015
604368;308109;296259;2015;35;39;2015
650114;329565;320549;2015;40;44;2015
670744;341083;329661;2015;45;49;2015
622044;315278;306766;2015;50;54;2015
579308;291556;287752;2015;55;59;2015
561962;280372;281590;2015;60;64;2015
599138;296189;302949;2015;65;69;2015
479257;234581;244676;2015;70;74;2015
335081;155541;179540;2015;75;79;2015
242924;102596;140328;2015;80;84;2015
256484;87777;168707;2015;85;NA;2015
586218;301784;284434;2016;0;4;2016
589118;302956;286162;2016;5;9;2016
541807;278135;263672;2016;10;14;2016
522472;271022;251450;2016;15;19;2016
656448;338198;318250;2016;20;24;2016
682413;348983;333430;2016;25;29;2016
619071;318006;301065;2016;30;34;2016
608570;310663;297907;2016;35;39;2016
651944;330868;321076;2016;40;44;2016
662423;336401;326022;2016;45;49;2016
644465;327170;317295;2016;50;54;2016
580194;292291;287903;2016;55;59;2016
558647;278590;280057;2016;60;64;2016
588931;290875;298056;2016;65;69;2016
511169;250497;260672;2016;70;74;2016
345477;161294;184183;2016;75;79;2016
243179;104170;139009;2016;80;84;2016
258471;89063;169408;2016;85;NA;2016
597041;307392;289649;2017;0;4;2017
600853;309001;291852;2017;5;9;2017
563100;289269;273831;2017;10;14;2017
529612;276575;253037;2017;15;19;2017
640179;331021;309158;2017;20;24;2017
711687;365217;346470;2017;25;29;2017
641176;330321;310855;2017;30;34;2017
617317;315589;301728;2017;35;39;2017
647816;329405;318411;2017;40;44;2017
658991;334272;324719;2017;45;49;2017
666684;338866;327818;2017;50;54;2017
581418;292812;288606;2017;55;59;2017
562422;281162;281260;2017;60;64;2017
573266;282774;290492;2017;65;69;2017
539911;264573;275338;2017;70;74;2017
356786;167768;189018;2017;75;79;2017
247030;106917;140113;2017;80;84;2017
259864;90413;169451;2017;85;NA;2017
602044;309845;292199;2018;0;4;2018
612180;314886;297294;2018;5;9;2018
580453;298557;281896;2018;10;14;2018
544838;286062;258776;2018;15;19;2018
616919;319535;297384;2018;20;24;2018
734003;377368;356635;2018;25;29;2018
662493;340535;321958;2018;30;34;2018
628193;321544;306649;2018;35;39;2018
641675;326651;315024;2018;40;44;2018
656677;332859;323818;2018;45;49;2018
683300;347535;335765;2018;50;54;2018
586614;295905;290709;2018;55;59;2018
564707;282290;282417;2018;60;64;2018
560392;276584;283808;2018;65;69;2018
556484;272290;284194;2018;70;74;2018
376600;178446;198154;2018;75;79;2018
252121;110252;141869;2018;80;84;2018
260549;91518;169031;2018;85;NA;2018
