"all";"male";"female";"year.ref";"age.min";"age.max";"year"
3831749;1960550;1871199;2010;0;4;2010
3466324;1774087;1692237;2010;5;9;2010
3719687;1906557;1813130;2010;10;14;2010
4009345;2045372;1963973;2010;15;19;2010
4174576;2088259;2086317;2010;20;24;2010
4262304;2120889;2141415;2010;25;29;2010
4002981;2001720;2001261;2010;30;34;2010
4341796;2152112;2189684;2010;35;39;2010
4675243;2314337;2360906;2010;40;44;2010
4543409;2247173;2296236;2010;45;49;2010
3957280;1963797;1993483;2010;50;54;2010
3603883;1779353;1824530;2010;55;59;2010
3754293;1843084;1911209;2010;60;64;2010
2895747;1400854;1494893;2010;65;69;2010
2454442;1156770;1297672;2010;70;74;2010
1992086;888424;1103662;2010;75;79;2010
1468849;595573;873276;2010;80;84;2010
1356203;430058;926145;2010;85;NA;2010
3898722;1995144;1903578;2011;0;4;2011
3506946;1794664;1712282;2011;5;9;2011
3679061;1884975;1794086;2011;10;14;2011
3987383;2037802;1949581;2011;15;19;2011
4251074;2139495;2111579;2011;20;24;2011
4296017;2138977;2157040;2011;25;29;2011
4096510;2046042;2050468;2011;30;34;2011
4226580;2098838;2127742;2011;35;39;2011
4633457;2290136;2343321;2011;40;44;2011
4625401;2286310;2339091;2011;45;49;2011
4063519;2014744;2048775;2011;50;54;2011
3608988;1782604;1826384;2011;55;59;2011
3788359;1859544;1928815;2011;60;64;2011
3008157;1458333;1549824;2011;65;69;2011
2459444;1160846;1298598;2011;70;74;2011
2008211;902905;1105306;2011;75;79;2011
1494215;612104;882111;2011;80;84;2011
1390488;448027;942461;2011;85;NA;2011
3961622;2027426;1934196;2012;0;4;2012
3588889;1837446;1751443;2012;5;9;2012
3614478;1850874;1763604;2012;10;14;2012
3949370;2022236;1927134;2012;15;19;2012
4316184;2180926;2135258;2012;20;24;2012
4316188;2151894;2164294;2012;25;29;2012
4194382;2090268;2104114;2012;30;34;2012
4098388;2038863;2059525;2012;35;39;2012
4593426;2267535;2325891;2012;40;44;2012
4670612;2306390;2364222;2012;45;49;2012
4177926;2069612;2108314;2012;50;54;2012
3653326;1804646;1848680;2012;55;59;2012
3710842;1819815;1891027;2012;60;64;2012
3209249;1558691;1650558;2012;65;69;2012
2464490;1164217;1300273;2012;70;74;2012
2032001;919432;1112569;2012;75;79;2012
1520478;629051;891427;2012;80;84;2012
1423452;467019;956433;2012;85;NA;2012
4004958;2050303;1954655;2013;0;4;2013
3701254;1894962;1806292;2013;5;9;2013
3554240;1819963;1734277;2013;10;14;2013
3904459;2003094;1901365;2013;15;19;2013
4323560;2189579;2133981;2013;20;24;2013
