"all";"male";"female";"year.ref";"age_min";"age.max";"year"
2476594;1278206;1198388;2012;0;4;2012
2397808;1233541;1164267;2012;5;9;2012
2202538;1133020;1069518;2012;10;14;2012
2199410;1132171;1067239;2012;15;19;2012
2503813;1272417;1231396;2012;20;24;2012
3065915;1547933;1517982;2012;25;29;2012
3869456;1981932;1887524;2012;30;34;2012
4091220;2107352;1983868;2012;35;39;2012
3846088;1965304;1880784;2012;40;44;2012
3610981;1820735;1790246;2012;45;49;2012
3238287;1613015;1625272;2012;50;54;2012
2720824;1340833;1379991;2012;55;59;2012
2467244;1197146;1270098;2012;60;64;2012
2192459;1042213;1150246;2012;65;69;2012
1710595;785328;925267;2012;70;74;2012
1760623;760328;1000295;2012;75;79;2012
1324628;523081;801547;2012;80;84;2012
1139736;364457;775279;2012;85;NA;2012
2422765;1250261;1172504;2013;0;4;2013
2440531;1256481;1184050;2013;5;9;2013
2226702;1146098;1080604;2013;10;14;2013
2165610;1114480;1051130;2013;15;19;2013
2443635;1241695;1201940;2013;20;24;2013
2899633;1456221;1443412;2013;25;29;2013
3684778;1873020;1811758;2013;30;34;2013
4077122;2093321;1983801;2013;35;39;2013
3854669;1968657;1886012;2013;40;44;2013
3668177;1849194;1818983;2013;45;49;2013
3284959;1636317;1648642;2013;50;54;2013
2794943;1375659;1419284;2013;55;59;2013
2502288;1215561;1286727;2013;60;64;2013
2268893;1078145;1190748;2013;65;69;2013
1713640;789593;924047;2013;70;74;2013
1726105;747102;979003;2013;75;79;2013
1369207;544043;825164;2013;80;84;2013
1184233;381912;802321;2013;85;NA;2013
2320613;1196688;1123925;2014;0;4;2014
2478499;1277953;1200546;2014;5;9;2014
2267842;1165623;1102219;2014;10;14;2014
2140570;1102242;1038328;2014;15;19;2014
2374617;1207761;1166856;2014;20;24;2014
2749308;1376954;1372354;2014;25;29;2014
3456207;1744291;1711916;2014;30;34;2014
4032770;2062079;1970691;2014;35;39;2014
3858819;1968430;1890389;2014;40;44;2014
3689866;1859982;1829884;2014;45;49;2014
3333372;1660863;1672509;2014;50;54;2014
2877802;1416520;1461282;2014;55;59;2014
2491892;1211425;1280467;2014;60;64;2014
2327434;1106689;1220745;2014;65;69;2014
1809959;836505;973454;2014;70;74;2014
1652238;716562;935676;2014;75;79;2014
1403260;561172;842088;2014;80;84;2014
1247131;405722;841409;2014;85;NA;2014
2256693;1163218;1093475;2015;0;4;2015
2484377;1281689;1202688;2015;5;9;2015
2308009;1187484;1120525;2015;10;14;2015
2153295;1107970;1045325;2015;15;19;2015
2319300;1181542;1137758;2015;20;24;2015
2640340;1321886;1318454;2015;25;29;2015
3269864;1642804;1627060;2015;30;34;2015
3949789;2011296;1938493;2015;35;39;2015
3889668;1982453;1907215;2015;40;44;2015
3691008;1861330;1829678;2015;45;49;2015
3408998;1698889;1710109;2015;50;54;2015
2978374;1467133;1511241;2015;55;59;2015
2507836;1219620;1288216;2015;60;64;2015
2357514;1120627;1236887;2015;65;69;2015
1949029;902510;1046519;2015;70;74;2015
1553066;673645;879421;2015;75;79;2015
1425564;573318;852246;2015;80;84;2015
1306841;429132;877709;2015;85;NA;2015
2202762;1135064;1067698;2016;0;4;2016
2477203;1278835;1198368;2016;5;9;2016
2345435;1205603;1139832;2016;10;14;2016
2185630;1125439;1060191;2016;15;19;2016
2280631;1163627;1117004;2016;20;24;2016
2564166;1284350;1279816;2016;25;29;2016
3100403;1551405;1548998;2016;30;34;2016
3849020;1951415;1897605;2016;35;39;2016
3924815;1998598;1926217;2016;40;44;2016
3712894;1874516;1838378;2016;45;49;2016
3461060;1725134;1735926;2016;50;54;2016
3073611;1514131;1559480;2016;55;59;2016
2568305;1248590;1319715;2016;60;64;2016
2348134;1117040;1231094;2016;65;69;2016
1975726;915284;1060442;2016;70;74;2016
1584129;690958;893171;2016;75;79;2016
1430780;578510;852270;2016;80;84;2016
1355395;448965;906430;2016;85;NA;2016
2150640;1107530;1043110;2017;0;4;2017
2458623;1269088;1189535;2017;5;9;2017
2395916;1233379;1162537;2017;10;14;2017
2223012;1145115;1077897;2017;15;19;2017
2260951;1153358;1107593;2017;20;24;2017
2518768;1264891;1253877;2017;25;29;2017
2961782;1476628;1485154;2017;30;34;2017
3717438;1876443;1840995;2017;35;39;2017
3961111;2013701;1947410;2017;40;44;2017
3743094;1890130;1852964;2017;45;49;2017
3524989;1758470;1766519;2017;50;54;2017
3151845;1552325;1599520;2017;55;59;2017
2637235;1281367;1355868;2017;60;64;2017
2370618;1128893;1241725;2017;65;69;2017
2055842;950699;1105143;2017;70;74;2017
1534114;673917;860197;2017;75;79;2017
1449210;585833;863377;2017;80;84;2017
1412836;472831;940005;2017;85;NA;2017
2106226;1084401;1021825;2018;0;4;2018
2423973;1250866;1173107;2018;5;9;2018
2448365;1261152;1187213;2018;10;14;2018
2263846;1167453;1096393;2018;15;19;2018
2261480;1153467;1108013;2018;20;24;2018
2512344;1264328;1248016;2018;25;29;2018
2853411;1420073;1433338;2018;30;34;2018
3577708;1795555;1782153;2018;35;39;2018
3972626;2014901;1957725;2018;40;44;2018
3767855;1902769;1865086;2018;45;49;2018
3592109;1791837;1800272;2018;50;54;2018
3205171;1578213;1626958;2018;55;59;2018
2713839;1316834;1397005;2018;60;64;2018
2406131;1147212;1258919;2018;65;69;2018
2126644;983119;1143525;2018;70;74;2018
1538604;679146;859458;2018;75;79;2018
1422641;576201;846440;2018;80;84;2018
1465474;494355;971119;2018;85;NA;2018
