"all";"male";"female";"year.ref";"age_min";"age.max";"year"
489949;250223;239726;2012;0;4;2012
523527;268433;255094;2012;5;9;2012
559424;286008;273416;2012;10;14;2012
558890;285437;273453;2012;15;19;2012
580521;292447;288074;2012;20;24;2012
637495;316114;321381;2012;25;29;2012
749131;365735;383396;2012;30;34;2012
831319;404797;426522;2012;35;39;2012
779729;380465;399264;2012;40;44;2012
778366;376018;402348;2012;45;49;2012
736406;354921;381485;2012;50;54;2012
676046;321094;354952;2012;55;59;2012
633949;297981;335968;2012;60;64;2012
548752;248090;300662;2012;65;69;2012
483250;212125;271125;2012;70;74;2012
435021;179950;255071;2012;75;79;2012
303404;115077;188327;2012;80;84;2012
237219;75522;161697;2012;85;NA;2012
480965;245774;235191;2013;0;4;2013
513870;263163;250707;2013;5;9;2013
555366;284636;270730;2013;10;14;2013
551206;281332;269874;2013;15;19;2013
571884;287948;283936;2013;20;24;2013
606898;301518;305380;2013;25;29;2013
716270;348419;367851;2013;30;34;2013
827802;401801;426001;2013;35;39;2013
785361;381976;403385;2013;40;44;2013
773515;372681;400834;2013;45;49;2013
743710;357444;386266;2013;50;54;2013
680753;323624;357129;2013;55;59;2013
647083;304154;342929;2013;60;64;2013
559012;252747;306265;2013;65;69;2013
479637;210824;268813;2013;70;74;2013
434981;180088;254893;2013;75;79;2013
314687;120014;194673;2013;80;84;2013
244289;77554;166735;2013;85;NA;2013
463483;236689;226794;2014;0;4;2014
507433;259934;247499;2014;5;9;2014
550938;282680;268258;2014;10;14;2014
547470;279815;267655;2014;15;19;2014
563404;284075;279329;2014;20;24;2014
585742;291690;294052;2014;25;29;2014
690773;335909;354864;2014;30;34;2014
811475;392010;419465;2014;35;39;2014
789041;381254;407787;2014;40;44;2014
766664;368528;398136;2014;45;49;2014
748134;358307;389827;2014;50;54;2014
689029;326984;362045;2014;55;59;2014
643872;302513;341359;2014;60;64;2014
575925;260717;315208;2014;65;69;2014
480062;210967;269095;2014;70;74;2014
436117;181633;254484;2014;75;79;2014
324407;124110;200297;2014;80;84;2014
253332;80205;173127;2014;85;NA;2014
449799;230243;219556;2015;0;4;2015
499768;255773;243995;2015;5;9;2015
540674;277470;263204;2015;10;14;2015
552373;282068;270305;2015;15;19;2015
553108;279030;274078;2015;20;24;2015
566505;282792;283713;2015;25;29;2015
668652;325138;343514;2015;30;34;2015
786750;378921;407829;2015;35;39;2015
797274;382724;414550;2015;40;44;2015
757206;362975;394231;2015;45;49;2015
756100;360486;395614;2015;50;54;2015
694551;328851;365700;2015;55;59;2015
646895;303012;343883;2015;60;64;2015
586336;267226;319110;2015;65;69;2015
485196;213226;271970;2015;70;74;2015
438065;182721;255344;2015;75;79;2015
333973;128377;205596;2015;80;84;2015
261597;82633;178964;2015;85;NA;2015
436365;223824;212541;2016;0;4;2016
494705;252333;242372;2016;5;9;2016
529762;271860;257902;2016;10;14;2016
560363;286050;274313;2016;15;19;2016
545132;275387;269745;2016;20;24;2016
557449;278464;278985;2016;25;29;2016
640029;311641;328388;2016;30;34;2016
761670;365654;396016;2016;35;39;2016
807089;386387;420702;2016;40;44;2016
754807;361242;393565;2016;45;49;2016
757561;359846;397715;2016;50;54;2016
703719;333424;370295;2016;55;59;2016
651855;304260;347595;2016;60;64;2016
593746;272256;321490;2016;65;69;2016
498638;218674;279964;2016;70;74;2016
433987;181742;252245;2016;75;79;2016
341071;131773;209298;2016;80;84;2016
273382;86692;186690;2016;85;NA;2016
428244;219716;208528;2017;0;4;2017
490004;250319;239685;2017;5;9;2017
524168;268357;255811;2017;10;14;2017
558165;285028;273137;2017;15;19;2017
538556;272947;265609;2017;20;24;2017
551919;276452;275467;2017;25;29;2017
614838;300227;314611;2017;30;34;2017
731253;350696;380557;2017;35;39;2017
811722;387780;423942;2017;40;44;2017
758984;362673;396311;2017;45;49;2017
756882;358709;398173;2017;50;54;2017
714805;337798;377007;2017;55;59;2017
653393;304151;349242;2017;60;64;2017
606795;279324;327471;2017;65;69;2017
510244;223647;286597;2017;70;74;2017
426680;178883;247797;2017;75;79;2017
347305;134204;213101;2017;80;84;2017
285616;91545;194071;2017;85;NA;2017
425562;217865;207697;2018;0;4;2018
482612;246716;235896;2018;5;9;2018
515722;263569;252153;2018;10;14;2018
555911;284302;271609;2018;15;19;2018
537290;272265;265025;2018;20;24;2018
549467;274790;274677;2018;25;29;2018
591800;289672;302128;2018;30;34;2018
704918;337482;367436;2018;35;39;2018
812053;387741;424312;2018;40;44;2018
767109;365910;401199;2018;45;49;2018
753649;356250;397399;2018;50;54;2018
722561;340474;382087;2018;55;59;2018
659099;307055;352044;2018;60;64;2018
619886;285246;334640;2018;65;69;2018
521503;228953;292550;2018;70;74;2018
424997;178645;246352;2018;75;79;2018
349350;135091;214259;2018;80;84;2018
297538;95666;201872;2018;85;NA;2018
